date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2019-05-16 10:00:00,5367.1,5390.3,5395.8,5367.1,5368.8,5392.1,5396.7,5368.8,4570
2019-05-16 11:00:00,5390.3,5392.8,5401.9,5382.3,5392.1,5394.7,5403.2,5384.2,4634
2019-05-16 12:00:00,5392.8,5391.1,5395.3,5380.8,5394.7,5392.3,5396.2,5382.0,4334
2019-05-16 13:00:00,5391.1,5408.1,5412.0,5383.0,5392.3,5409.8,5413.6,5384.3,6163
2019-05-16 14:00:00,5408.1,5441.0,5441.6,5404.4,5409.8,5442.2,5443.0,5405.7,6228
2019-05-16 15:00:00,5441.0,5445.3,5450.4,5432.8,5442.2,5446.7,5451.7,5434.1,6141
2019-05-16 16:00:00,5445.3,5443.3,5451.8,5442.8,5446.7,5445.0,5453.2,5443.7,2580
2019-05-16 17:00:00,5443.3,5438.6,5446.5,5437.5,5445.0,5439.7,5448.0,5438.8,2078
2019-05-16 18:00:00,5438.6,5441.3,5442.8,5435.1,5439.7,5442.5,5444.5,5436.9,1994
2019-05-16 19:00:00,5441.3,5437.8,5441.3,5427.0,5442.5,5439.2,5442.5,5433.2,2663
